ID,Name,IP,HR,BB,K,HR/9,BB/9,K/9
11911,Jong-ho Kim,122.0,13,28,68,1.0,2.1,5.0
12194,Ricky Felix,119.2,4,48,67,0.3,3.6,5.0
8033,RICKY CRUZ,117.1,15,47,94,1.2,3.6,7.2
10905,SAM BLANCHARD,117.0,16,86,90,1.2,6.6,6.9
11014,TIM COZZI,117.0,12,59,49,0.9,4.5,3.8
10113,RYAN FREITAS,116.0,6,48,69,0.5,3.7,5.4
10370,Tyler Messamore,115.1,8,31,70,0.6,2.4,5.5
10422,Nicholas Printz,113.1,8,36,72,0.6,2.9,5.7
11413,DAVE TORRES,113.0,6,40,63,0.5,3.2,5.0
12633,Yushiro Nakamura,112.2,13,44,78,1.0,3.5,6.2
11643,HANNA BIN RAGHIB,112.1,5,37,65,0.4,3.0,5.2
11758,COLIN SUMAN,111.0,7,48,86,0.6,3.9,7.0
12620,Rex Fouracre,109.2,8,34,57,0.7,2.8,4.7
10100,Andy Gallivan,109.0,3,39,65,0.2,3.2,5.4
10994,CHRIS REID,107.1,7,28,77,0.6,2.3,6.5
12012,Yoshiharu Sakamoto,107.1,14,41,52,1.2,3.4,4.4
9090,BRANDON PEARSON,107.0,4,39,80,0.3,3.3,6.7
13173,JOEL BANKS,106.1,12,36,72,1.0,3.0,6.1
11588,RYAN FERGUSON,106.1,14,40,54,1.2,3.4,4.6
11217,Randy Overwater,105.1,4,45,66,0.3,3.8,5.6
12063,Billy Reyes,105.0,17,85,61,1.5,7.3,5.2
9197,BRENT CITO,104.2,9,39,78,0.8,3.4,6.7
11684,KYLE WHITTLE,104.1,6,32,58,0.5,2.8,5.0
11592,MANATO HIRA,104.0,3,45,65,0.3,3.9,5.6
12265,GARY BOTTOM,103.2,4,26,71,0.3,2.3,6.2
12410,BRODY DALLE,103.1,7,30,75,0.6,2.6,6.5
13251,Maurice Wells,102.1,12,50,54,1.1,4.4,4.7
12407,ELARD KOOLE,102.0,2,33,49,0.2,2.9,4.3
12490,Per Wiegersma,101.1,7,35,56,0.6,3.1,5.0
12872,Emir Boulos,101.0,13,36,46,1.2,3.2,4.1
11519,BEN PEDUTO,101.0,4,30,58,0.4,2.7,5.2
12031,Damian Jeffreys,99.0,8,27,70,0.7,2.5,6.4
12991,MATT HALLBAUER,97.0,8,37,64,0.7,3.4,5.9
11805,Naohiro Honda,97.0,5,26,67,0.5,2.4,6.2
11793,Carl Beckett,92.1,7,40,58,0.7,3.9,5.7
14420,Paolo Janssen,92.1,4,35,53,0.4,3.4,5.2
10938,STEPHEN RIX,92.1,8,20,44,0.8,1.9,4.3
12711,Juan Sastre,91.1,8,28,51,0.8,2.8,5.0
11214,Jian-zhang Zhang,90.2,6,39,53,0.6,3.9,5.3
13067,Chris Johnson,90.0,3,33,35,0.3,3.3,3.5
11380,Eduardo Vallone,89.2,2,46,49,0.2,4.6,4.9
11772,Farid Bruneau,89.0,8,24,48,0.8,2.4,4.9
10690,Luis Ramirez,89.0,5,37,44,0.5,3.7,4.4
12211,Scott Goble,88.2,15,37,63,1.5,3.8,6.4
11716,ADRIÃO TANAKA,88.2,3,20,58,0.3,2.0,5.9
10634,Doug Schueller,87.1,12,59,55,1.2,6.1,5.7
12838,Cheol-kyun Kim,86.0,8,24,50,0.8,2.5,5.2
13260,Geaney Munnelly,85.0,8,42,58,0.8,4.4,6.1
12297,BRENNAN STEELE,85.0,4,34,48,0.4,3.6,5.1
9716,Zack Campbell,84.2,5,40,63,0.5,4.3,6.7
11205,Burton Guster,83.1,6,21,50,0.6,2.3,5.4
11379,Donald Bom,82.2,3,38,55,0.3,4.1,6.0
11430,DAN PLANTE,82.2,3,53,52,0.3,5.8,5.7
12452,SCOTT JENSEN,82.0,5,25,46,0.5,2.7,5.0
10933,Jeff Kelley,82.0,8,36,50,0.9,4.0,5.5
11330,Glen Morrall,81.0,6,32,44,0.7,3.6,4.9
12024,Alex Carreras,80.0,12,69,37,1.4,7.8,4.2
12948,MARTY ROMAN,80.0,14,37,50,1.6,4.2,5.6
11556,IAN LEVORATO,79.2,5,26,53,0.6,2.9,6.0
9086,ALEX PARKER,79.1,12,14,47,1.4,1.6,5.3
12946,KEN CORBIN,79.0,2,33,58,0.2,3.8,6.6
13797,ARMANDO CARRILLO,78.2,4,30,62,0.5,3.4,7.1
14997,Rafael Esparza,78.2,14,23,52,1.6,2.6,5.9
10645,Masahiro Endo,77.1,9,26,45,1.0,3.0,5.2
12693,Kuniyoshi Horii,76.0,5,22,52,0.6,2.6,6.2
