IP,HR,BB,K,HR/9,BB/9,K/9,FIP,WAR,SIERA
59.1,10,29,51,1.5,4.4,7.7,5.57,-0.7,4.49
59.0,10,6,41,1.5,0.9,6.3,4.65,-0.4,3.76
59.0,6,24,31,0.9,3.7,4.7,5.07,-0.5,5.34
59.0,3,14,35,0.5,2.1,5.3,3.61,0.6,4.55
59.0,9,20,44,1.4,3.1,6.7,4.87,-0.2,4.38
58.1,6,17,31,0.9,2.6,4.8,4.63,-0.2,4.90
57.2,4,30,54,0.6,4.7,8.4,4.02,0.5,4.28
57.0,3,24,35,0.5,3.8,5.5,4.25,0.1,5.04
56.2,2,12,33,0.3,1.9,5.2,3.35,0.6,4.53
56.2,2,26,36,0.3,4.1,5.7,3.99,0.4,5.02
56.2,12,30,41,1.9,4.8,6.5,5.94,-1.1,5.03
56.0,6,8,37,1.0,1.3,5.9,3.97,1.0,4.07
55.2,5,21,24,0.8,3.4,3.9,5.02,0.3,5.58
55.2,1,17,29,0.2,2.7,4.7,3.59,0.6,4.93
55.1,3,15,47,0.5,2.4,7.6,3.13,0.9,3.61
55.0,2,12,42,0.3,2.0,6.9,2.91,1.1,3.81
55.0,3,19,34,0.5,3.1,5.6,3.87,0.5,4.81
55.0,5,13,51,0.8,2.1,8.3,3.13,1.4,3.42
54.2,4,17,47,0.7,2.8,7.7,3.47,0.8,3.76
54.0,2,21,34,0.3,3.5,5.7,4.03,0.3,4.91
54.0,8,23,34,1.3,3.8,5.7,5.36,-0.5,5.04
53.2,6,18,47,1.0,3.0,7.9,4.02,0.3,3.79
53.2,7,12,48,1.2,2.0,8.0,4.11,0.0,3.39
53.0,8,19,35,1.4,3.2,5.9,5.02,-0.6,4.72
53.0,14,23,44,2.4,3.9,7.5,6.15,-1.4,4.31
52.1,5,17,32,0.9,2.9,5.5,4.41,0.1,4.75
52.1,2,15,23,0.3,2.6,4.0,3.96,0.2,5.24
51.0,6,24,25,1.1,4.2,4.4,5.08,-0.6,5.49
50.2,3,15,33,0.5,2.7,5.9,3.77,0.9,4.47
50.1,6,11,46,1.1,2.0,8.2,3.79,0.4,3.31
50.1,4,14,31,0.7,2.5,5.5,3.99,0.4,4.58
50.1,8,16,38,1.4,2.9,6.8,4.63,0.2,4.35
49.2,7,16,50,1.3,2.9,9.1,4.26,0.1,3.40
49.0,6,14,36,1.1,2.6,6.6,4.21,0.2,4.21
47.2,6,17,40,1.1,3.2,7.6,4.32,0.0,4.06
47.1,5,14,22,1.0,2.7,4.2,4.81,-0.2,5.23
47.0,10,17,28,1.9,3.3,5.4,6.08,-0.7,4.95
46.2,6,12,30,1.2,2.3,5.8,4.51,0.1,4.57
46.2,7,18,25,1.4,3.5,4.8,5.64,-0.7,5.26
44.1,3,16,23,0.6,3.2,4.7,4.40,-0.0,5.25
43.2,2,9,23,0.4,1.9,4.7,3.64,0.5,4.75
43.1,3,10,32,0.6,2.1,6.6,3.53,0.4,3.98
42.1,4,15,35,0.9,3.2,7.4,4.12,0.3,4.16
42.0,3,14,23,0.6,3.0,4.9,4.25,0.2,4.97
41.2,4,13,31,0.9,2.8,6.7,4.11,0.1,4.18
41.1,3,31,26,0.7,6.8,5.7,5.13,-0.3,5.84
40.2,3,18,24,0.7,4.0,5.3,4.59,-0.1,5.11
40.2,6,11,27,1.3,2.4,6.0,4.67,-0.1,4.49
40.0,4,14,24,0.9,3.1,5.4,4.57,-0.1,4.94
39.2,5,11,36,1.1,2.5,8.2,3.92,0.4,3.56
39.1,5,12,26,1.1,2.7,5.9,4.72,-0.1,4.65
39.0,2,12,34,0.5,2.8,7.8,3.32,0.6,3.86
38.1,2,23,32,0.5,5.4,7.5,4.07,0.2,4.79
38.1,2,16,28,0.5,3.8,6.6,3.81,0.3,4.59
38.1,8,24,21,1.9,5.6,4.9,6.83,-1.1,5.84
37.1,6,9,20,1.4,2.2,4.8,5.30,0.1,4.85
36.1,3,7,28,0.7,1.7,6.9,3.67,0.8,3.87
34.2,4,12,16,1.0,3.1,4.2,4.95,-0.3,5.36
34.0,4,12,24,1.1,3.2,6.4,4.42,0.0,4.53
33.1,6,9,20,1.6,2.4,5.4,5.19,-0.3,4.69
33.0,3,11,18,0.8,3.0,4.9,4.48,0.1,4.92
32.0,1,15,21,0.3,4.2,5.9,4.07,0.1,5.03
31.2,3,13,20,0.9,3.7,5.7,4.39,0.0,4.87
30.2,6,10,14,1.8,2.9,4.1,6.12,-0.4,5.40
30.1,1,13,25,0.3,3.9,7.4,3.48,0.4,4.35
28.2,2,9,15,0.6,2.8,4.7,4.11,0.3,5.02
28.2,2,12,25,0.6,3.8,7.8,3.94,0.2,4.01
28.0,0,14,18,0.0,4.5,5.8,3.63,0.4,5.12
28.0,2,9,18,0.6,2.9,5.8,4.09,0.4,4.69
27.2,6,10,23,2.0,3.3,7.5,5.33,-0.4,4.35
27.2,2,8,17,0.7,2.6,5.5,4.00,0.1,4.69
27.0,3,12,8,1.0,4.0,2.7,5.77,-0.3,6.28
25.2,5,4,14,1.8,1.4,4.9,5.33,-0.3,4.45
25.1,3,15,23,1.1,5.3,8.2,4.98,0.1,4.61
24.1,2,12,17,0.7,4.4,6.3,4.63,-0.0,4.97
23.2,2,5,10,0.8,1.9,3.8,4.30,0.1,5.12
23.1,1,3,18,0.4,1.2,6.9,2.82,0.5,3.49
22.2,4,8,11,1.6,3.2,4.4,5.86,-0.3,5.42
22.1,5,8,12,2.0,3.2,4.8,6.33,-0.3,5.21
21.1,2,11,11,0.8,4.6,4.6,5.15,-0.2,5.56
21.0,3,6,15,1.3,2.6,6.4,4.76,-0.0,4.36
20.0,1,12,20,0.5,5.4,9.0,3.87,0.2,4.25
